City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kharan,PK,83.34,overcast clouds,28.5833,65.4167,Dil Aram Bangla
4,Nisia Floresta,BR,86.81,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
6,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
7,Hilo,US,77.29,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
9,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
27,Jiwani,PK,82.27,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
28,Santa Marta,CO,87.85,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
33,Borba,BR,86.79,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
35,Katherine,AU,77.32,few clouds,-14.4667,132.2667,Pine Tree Motel
47,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
48,Namibe,AO,75.96,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
49,Faanui,PF,81.5,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
52,Punta Cardon,VE,82.47,overcast clouds,11.6581,-70.215,Bambuda hotel
56,Kutum,SD,80.64,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
60,Mahibadhoo,MV,84.38,overcast clouds,3.7833,72.9667,Omadhoo Inn
61,Quatre Cocos,MU,77.11,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
69,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
70,Butaritari,KI,81.25,few clouds,3.0707,172.7902,Isles Sunset Lodge
71,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
76,Rikitea,PF,78.21,clear sky,-23.1203,-134.9692,People ThankYou
81,Angoche,MZ,80.51,light rain,-16.2325,39.9086,Guest House HESADA
82,Mitsamiouli,KM,84.49,few clouds,-11.3847,43.2844,Foyer ADM
83,Hithadhoo,MV,82.78,few clouds,-0.6,73.0833,Scoop Guest House
84,Levelland,US,83.19,clear sky,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
87,Trairi,BR,82.72,overcast clouds,-3.2778,-39.2689,janelas do mar
91,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Tacoronte,ES,78.13,haze,28.4769,-16.4102,Casa Laurel
100,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
102,Banda Aceh,ID,79.38,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
109,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Pandan,PH,78.06,few clouds,14.0453,124.1694,Bonifacio Lodge
124,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
131,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
133,Muli,MV,84.09,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
134,Atuona,PF,79.57,light rain,-9.8,-139.0333,Villa Enata
139,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
142,Kattivakkam,IN,86.09,light rain,13.2167,80.3167,Euronova Freezer
144,Kavieng,PG,82.85,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
145,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
151,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
152,Bengkulu,ID,75.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Teknaf,BD,79.48,scattered clouds,20.8624,92.3058,Forestry Guesthouse
157,Guhagar,IN,79.0,clear sky,17.4842,73.1929,Hotel Seawinds
160,Honiara,SB,76.82,overcast clouds,-9.4333,159.95,Heritage Park Hotel
169,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
171,Metro,ID,75.07,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
188,Sao Jose Da Coroa Grande,BR,81.75,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
192,Rincon,US,88.86,broken clouds,32.296,-81.2354,Days Inn Rincon
