City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mount Isa,AU,-20.7333,139.5,62.37,55,5,0.0,clear sky
1,Gavle,SE,60.6745,17.1417,52.38,56,98,1.01,overcast clouds
2,Castro,BR,-24.7911,-50.0119,66.85,52,0,2.04,clear sky
3,Kharan,PK,28.5833,65.4167,83.34,24,100,11.03,overcast clouds
4,Nisia Floresta,BR,-6.0911,-35.2086,86.81,73,75,8.55,broken clouds
5,Chapais,CA,49.7834,-74.8492,28.18,74,100,13.8,overcast clouds
6,Souillac,MU,-20.5167,57.5167,77.38,100,40,3.44,light rain
7,Hilo,US,19.7297,-155.09,77.29,95,100,8.05,heavy intensity rain
8,Cabo San Lucas,MX,22.8909,-109.9124,94.3,23,40,5.75,scattered clouds
9,Avarua,CK,-21.2078,-159.775,78.85,78,51,6.91,broken clouds
10,Hermanus,ZA,-34.4187,19.2345,61.81,82,5,11.86,clear sky
11,Lebu,CL,-37.6167,-73.65,58.55,77,100,10.07,overcast clouds
12,Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,10.31,light snow
13,Nikolskoye,RU,59.7035,30.7861,38.8,77,100,3.69,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,51.46,66,75,0.0,broken clouds
15,Jamestown,US,42.097,-79.2353,40.05,41,75,9.22,broken clouds
16,Yumen,CN,40.2833,97.2,44.67,23,0,8.08,clear sky
17,Werda,BW,-25.2667,23.2833,64.74,78,99,9.8,moderate rain
18,Yellowknife,CA,62.456,-114.3525,14.56,41,20,9.22,few clouds
19,Lompoc,US,34.6391,-120.4579,65.84,73,100,14.97,overcast clouds
20,Barrow,US,71.2906,-156.7887,-5.78,84,0,8.05,clear sky
21,Rawson,AR,-43.3002,-65.1023,66.38,56,2,25.59,clear sky
22,Bethel,US,41.3712,-73.414,48.56,44,100,16.11,overcast clouds
23,Vila,PT,42.0304,-8.1588,59.88,78,4,5.57,clear sky
24,Kathmandu,NP,27.7167,85.3167,64.62,42,20,2.3,few clouds
25,La Ronge,CA,55.1001,-105.2842,34.02,43,75,4.61,broken clouds
26,Aklavik,CA,68.2191,-135.0107,15.8,45,75,11.5,broken clouds
27,Jiwani,PK,25.05,61.7417,82.27,76,0,14.85,clear sky
28,Santa Marta,CO,11.2408,-74.199,87.85,70,75,4.61,broken clouds
29,Albany,US,42.6001,-73.9662,45.57,53,100,5.01,overcast clouds
30,Opuwo,NA,-18.0607,13.84,74.82,44,70,0.54,broken clouds
31,Santa Maria,BR,-29.6842,-53.8069,72.7,56,20,11.5,few clouds
32,Provideniya,RU,64.3833,-173.3,30.27,96,100,15.66,snow
33,Borba,BR,-4.3878,-59.5939,86.79,62,60,2.55,broken clouds
34,Eenhana,NA,-17.4667,16.3333,71.49,69,86,6.4,overcast clouds
35,Katherine,AU,-14.4667,132.2667,77.32,69,14,0.0,few clouds
36,Cape Town,ZA,-33.9258,18.4232,62.89,84,0,18.99,clear sky
37,Bunia,CD,1.5667,30.25,67.89,72,22,1.57,few clouds
38,Ware,GB,51.8126,-0.0283,62.42,51,100,11.5,overcast clouds
39,Bluff,NZ,-46.6,168.3333,46.62,85,6,7.0,clear sky
40,Nadvoitsy,RU,63.8667,34.3167,35.92,98,100,4.97,overcast clouds
41,Guangshui,CN,31.6199,113.9978,54.52,75,100,3.18,overcast clouds
42,Tazovskiy,RU,67.4667,78.7,13.35,94,100,13.96,overcast clouds
43,East London,ZA,-33.0153,27.9116,63.54,94,0,3.44,clear sky
44,Saskylakh,RU,71.9167,114.0833,27.05,96,100,16.06,light snow
45,Mataura,NZ,-46.1927,168.8643,39.22,96,0,2.3,clear sky
46,New Norfolk,AU,-42.7826,147.0587,56.91,69,100,1.43,heavy intensity rain
47,Riyadh,SA,24.6877,46.7219,78.94,16,0,9.75,clear sky
48,Namibe,AO,-15.1961,12.1522,75.96,70,48,7.11,scattered clouds
49,Faanui,PF,-16.4833,-151.75,81.5,71,18,12.46,few clouds
50,Vagur,FO,61.4732,-6.8119,47.01,93,100,10.51,overcast clouds
51,Chantada,ES,42.6088,-7.7712,58.55,69,0,7.74,clear sky
52,Punta Cardon,VE,11.6581,-70.215,82.47,68,100,7.18,overcast clouds
53,Saldanha,ZA,-33.0117,17.9442,62.65,85,0,10.89,clear sky
54,Maniitsoq,GL,65.4167,-52.9,26.28,73,100,3.56,overcast clouds
55,Hervey Bay,AU,-25.2986,152.8535,64.02,90,31,10.0,light rain
56,Kutum,SD,14.2,24.6667,80.64,16,14,1.59,few clouds
57,Marsa Matruh,EG,31.3525,27.2453,70.0,64,100,23.02,sand
58,Chokurdakh,RU,70.6333,147.9167,-8.82,100,91,3.96,overcast clouds
59,Suzun,RU,53.7841,82.3116,48.88,77,95,4.61,overcast clouds
60,Mahibadhoo,MV,3.7833,72.9667,84.38,72,100,13.31,overcast clouds
61,Quatre Cocos,MU,-20.2078,57.7625,77.11,89,30,14.56,moderate rain
62,Pevek,RU,69.7008,170.3133,-2.74,98,33,3.22,scattered clouds
63,Udachnyy,RU,66.4167,112.4,35.46,100,100,10.78,light rain
64,Tiksi,RU,71.6872,128.8694,-9.72,99,75,1.7,broken clouds
65,Lingao,CN,19.9103,109.6859,74.3,93,94,12.15,overcast clouds
66,Zhigansk,RU,66.7697,123.3711,26.69,82,100,29.91,overcast clouds
67,Kysyl-Syr,RU,63.8986,122.7617,27.57,86,100,14.56,overcast clouds
68,Hobart,AU,-42.8794,147.3294,57.27,87,75,16.11,light rain
69,Vaini,TO,-21.2,-175.2,75.36,100,75,2.3,broken clouds
70,Butaritari,KI,3.0707,172.7902,81.25,74,19,11.92,few clouds
71,Alta Floresta,BR,-9.8756,-56.0861,87.62,66,40,2.3,scattered clouds
72,Chernyshevskiy,RU,63.0128,112.4714,34.72,89,83,11.23,broken clouds
73,Punta Arenas,CL,-53.15,-70.9167,46.51,87,75,5.75,broken clouds
74,Dikson,RU,73.5069,80.5464,-3.71,100,62,7.0,broken clouds
