City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2022-04-16 04:05:04,65.6145,-37.6368,37.56,97,100,10.25
1,Rikitea,PF,2022-04-16 04:07:28,-23.1203,-134.9692,77.76,71,1,14.12
2,Albany,US,2022-04-16 04:05:13,42.6001,-73.9662,57.27,36,78,1.01
3,Cidreira,BR,2022-04-16 03:58:39,-30.1811,-50.2056,64.36,67,84,7.18
4,Ushuaia,AR,2022-04-16 04:03:38,-54.8,-68.3,38.28,88,74,4.74
5,Provideniya,RU,2022-04-16 04:07:28,64.3833,-173.3,32.65,95,100,22.1
6,Nanortalik,GL,2022-04-16 03:58:31,60.1432,-45.2371,27.34,80,91,7.34
7,Punta Arenas,CL,2022-04-16 04:04:34,-53.15,-70.9167,42.91,70,0,4.61
8,Havre-Saint-Pierre,CA,2022-04-16 04:07:29,50.2334,-63.5986,33.15,99,100,3.42
9,Muravlenko,RU,2022-04-16 04:07:29,63.7898,74.523,32.7,100,100,9.33
10,Grindavik,IS,2022-04-16 04:03:36,63.8424,-22.4338,46.87,93,100,36.82
11,Bakel,SN,2022-04-16 04:07:29,14.905,-12.4568,87.06,13,81,11.88
12,Constitucion,CL,2022-04-16 04:07:30,-35.3333,-72.4167,51.73,83,0,6.98
13,Talnakh,RU,2022-04-16 04:07:30,69.4865,88.3972,25.21,90,100,10.96
14,Bereda,ES,2022-04-16 04:02:41,43.2686,-7.5406,53.42,100,23,0.96
15,Bireun,ID,2022-04-16 04:07:30,5.203,96.7009,85.71,69,98,5.08
16,Hilo,US,2022-04-16 04:06:25,19.7297,-155.09,78.28,90,100,4.61
17,Thompson,CA,2022-04-16 03:58:35,55.7435,-97.8558,19.56,53,75,6.91
18,Lebu,CL,2022-04-16 04:07:31,-37.6167,-73.65,51.58,92,8,11.79
19,Olafsvik,IS,2022-04-16 04:07:31,64.8945,-23.7142,45.39,85,100,30.36
